keyword_ascii,scholar_query_ascii,google_scholar_url_ascii,formal_branch,formal_scope,field,subfield,sub_subfield,node_level,source_tag,source_code,source_title
General and overarching topics; collections,General and overarching topics; collections 00-XX MSC2020,https://scholar.google.com/scholar?q=General%20and%20overarching%20topics%3B%20collections%2000-XX%20MSC2020,Foundations and methodology,adjacent,General and overarching topics; collections,,,field,MSC2020:00-XX,00-XX,General and overarching topics; collections
"Introductory exposition (textbooks, tutorial papers, etc.) pertaining to mathematics in general","Introductory exposition (textbooks, tutorial papers, etc.) pertaining to mathematics in general General and overarching topics; collections 00-01 MSC2020",https://scholar.google.com/scholar?q=Introductory%20exposition%20(textbooks%2C%20tutorial%20papers%2C%20etc.)%20pertaining%20to%20mathematics%20in%20general%20General%20and%20overarching%20topics%3B%20collections%2000-01%20MSC2020,Foundations and methodology,adjacent,General and overarching topics; collections,"Introductory exposition (textbooks, tutorial papers, etc.) pertaining to mathematics in general",,subfield,MSC2020:00-01,00-01,"Introductory exposition (textbooks, tutorial papers, etc.) pertaining to mathematics in general"
"Research exposition (monographs, survey articles) pertaining to mathematics in general","Research exposition (monographs, survey articles) pertaining to mathematics in general General and overarching topics; collections 00-02 MSC2020",https://scholar.google.com/scholar?q=Research%20exposition%20(monographs%2C%20survey%20articles)%20pertaining%20to%20mathematics%20in%20general%20General%20and%20overarching%20topics%3B%20collections%2000-02%20MSC2020,Foundations and methodology,adjacent,General and overarching topics; collections,"Research exposition (monographs, survey articles) pertaining to mathematics in general",,subfield,MSC2020:00-02,00-02,"Research exposition (monographs, survey articles) pertaining to mathematics in general"
General and miscellaneous specific topics,General and miscellaneous specific topics General and overarching topics; collections 00Axx MSC2020,https://scholar.google.com/scholar?q=General%20and%20miscellaneous%20specific%20topics%20General%20and%20overarching%20topics%3B%20collections%2000Axx%20MSC2020,Foundations and methodology,adjacent,General and overarching topics; collections,General and miscellaneous specific topics,,subfield,MSC2020:00Axx,00Axx,General and miscellaneous specific topics
Mathematics in general,Mathematics in general General and miscellaneous specific topics General and overarching topics; collections 00A05 MSC2020,https://scholar.google.com/scholar?q=Mathematics%20in%20general%20General%20and%20miscellaneous%20specific%20topics%20General%20and%20overarching%20topics%3B%20collections%2000A05%20MSC2020,Foundations and methodology,adjacent,General and overarching topics; collections,General and miscellaneous specific topics,Mathematics in general,sub_subfield,MSC2020:00A05,00A05,Mathematics in general
"Mathematics for nonmathematicians (engineering, social sciences, etc.)","Mathematics for nonmathematicians (engineering, social sciences, etc.) General and miscellaneous specific topics General and overarching topics; collections 00A06 MSC2020",https://scholar.google.com/scholar?q=Mathematics%20for%20nonmathematicians%20(engineering%2C%20social%20sciences%2C%20etc.)%20General%20and%20miscellaneous%20specific%20topics%20General%20and%20overarching%20topics%3B%20collections%2000A06%20MSC2020,Foundations and methodology,adjacent,General and overarching topics; collections,General and miscellaneous specific topics,"Mathematics for nonmathematicians (engineering, social sciences, etc.)",sub_subfield,MSC2020:00A06,00A06,"Mathematics for nonmathematicians (engineering, social sciences, etc.)"
Problem books,Problem books General and miscellaneous specific topics General and overarching topics; collections 00A07 MSC2020,https://scholar.google.com/scholar?q=Problem%20books%20General%20and%20miscellaneous%20specific%20topics%20General%20and%20overarching%20topics%3B%20collections%2000A07%20MSC2020,Foundations and methodology,adjacent,General and overarching topics; collections,General and miscellaneous specific topics,"Problem books {For open problems, see 00A27}",sub_subfield,MSC2020:00A07,00A07,"Problem books {For open problems, see 00A27}"
Recreational mathematics,Recreational mathematics General and miscellaneous specific topics General and overarching topics; collections 00A08 MSC2020,https://scholar.google.com/scholar?q=Recreational%20mathematics%20General%20and%20miscellaneous%20specific%20topics%20General%20and%20overarching%20topics%3B%20collections%2000A08%20MSC2020,Foundations and methodology,adjacent,General and overarching topics; collections,General and miscellaneous specific topics,Recreational mathematics,sub_subfield,MSC2020:00A08,00A08,Recreational mathematics
Popularization of mathematics,Popularization of mathematics General and miscellaneous specific topics General and overarching topics; collections 00A09 MSC2020,https://scholar.google.com/scholar?q=Popularization%20of%20mathematics%20General%20and%20miscellaneous%20specific%20topics%20General%20and%20overarching%20topics%3B%20collections%2000A09%20MSC2020,Foundations and methodology,adjacent,General and overarching topics; collections,General and miscellaneous specific topics,Popularization of mathematics,sub_subfield,MSC2020:00A09,00A09,Popularization of mathematics
Bibliographies for mathematics in general,Bibliographies for mathematics in general General and miscellaneous specific topics General and overarching topics; collections 00A15 MSC2020,https://scholar.google.com/scholar?q=Bibliographies%20for%20mathematics%20in%20general%20General%20and%20miscellaneous%20specific%20topics%20General%20and%20overarching%20topics%3B%20collections%2000A15%20MSC2020,Foundations and methodology,adjacent,General and overarching topics; collections,General and miscellaneous specific topics,Bibliographies for mathematics in general [See also 01A70 and the classification number –00 in the other sections],sub_subfield,MSC2020:00A15,00A15,Bibliographies for mathematics in general [See also 01A70 and the classification number –00 in the other sections]
External book reviews,External book reviews General and miscellaneous specific topics General and overarching topics; collections 00A17 MSC2020,https://scholar.google.com/scholar?q=External%20book%20reviews%20General%20and%20miscellaneous%20specific%20topics%20General%20and%20overarching%20topics%3B%20collections%2000A17%20MSC2020,Foundations and methodology,adjacent,General and overarching topics; collections,General and miscellaneous specific topics,External book reviews,sub_subfield,MSC2020:00A17,00A17,External book reviews
Dictionaries and other general reference works,Dictionaries and other general reference works General and miscellaneous specific topics General and overarching topics; collections 00A20 MSC2020,https://scholar.google.com/scholar?q=Dictionaries%20and%20other%20general%20reference%20works%20General%20and%20miscellaneous%20specific%20topics%20General%20and%20overarching%20topics%3B%20collections%2000A20%20MSC2020,Foundations and methodology,adjacent,General and overarching topics; collections,General and miscellaneous specific topics,Dictionaries and other general reference works [See also the classification number –00 in the other sections],sub_subfield,MSC2020:00A20,00A20,Dictionaries and other general reference works [See also the classification number –00 in the other sections]
Formularies,Formularies General and miscellaneous specific topics General and overarching topics; collections 00A22 MSC2020,https://scholar.google.com/scholar?q=Formularies%20General%20and%20miscellaneous%20specific%20topics%20General%20and%20overarching%20topics%3B%20collections%2000A22%20MSC2020,Foundations and methodology,adjacent,General and overarching topics; collections,General and miscellaneous specific topics,Formularies,sub_subfield,MSC2020:00A22,00A22,Formularies
Lists of open problems,Lists of open problems General and miscellaneous specific topics General and overarching topics; collections 00A27 MSC2020,https://scholar.google.com/scholar?q=Lists%20of%20open%20problems%20General%20and%20miscellaneous%20specific%20topics%20General%20and%20overarching%20topics%3B%20collections%2000A27%20MSC2020,Foundations and methodology,adjacent,General and overarching topics; collections,General and miscellaneous specific topics,Lists of open problems,sub_subfield,MSC2020:00A27,00A27,Lists of open problems
Philosophy of mathematics,Philosophy of mathematics General and miscellaneous specific topics General and overarching topics; collections 00A30 MSC2020,https://scholar.google.com/scholar?q=Philosophy%20of%20mathematics%20General%20and%20miscellaneous%20specific%20topics%20General%20and%20overarching%20topics%3B%20collections%2000A30%20MSC2020,Foundations and methodology,adjacent,General and overarching topics; collections,General and miscellaneous specific topics,Philosophy of mathematics [See also 03A05],sub_subfield,MSC2020:00A30,00A30,Philosophy of mathematics [See also 03A05]
Methodology of mathematics,Methodology of mathematics General and miscellaneous specific topics General and overarching topics; collections 00A35 MSC2020,https://scholar.google.com/scholar?q=Methodology%20of%20mathematics%20General%20and%20miscellaneous%20specific%20topics%20General%20and%20overarching%20topics%3B%20collections%2000A35%20MSC2020,Foundations and methodology,adjacent,General and overarching topics; collections,General and miscellaneous specific topics,"Methodology of mathematics {For mathematics education, see 97-XX}",sub_subfield,MSC2020:00A35,00A35,"Methodology of mathematics {For mathematics education, see 97-XX}"
Mathematics and literature,Mathematics and literature General and miscellaneous specific topics General and overarching topics; collections 00A64 MSC2020,https://scholar.google.com/scholar?q=Mathematics%20and%20literature%20General%20and%20miscellaneous%20specific%20topics%20General%20and%20overarching%20topics%3B%20collections%2000A64%20MSC2020,Foundations and methodology,adjacent,General and overarching topics; collections,General and miscellaneous specific topics,Mathematics and literature,sub_subfield,MSC2020:00A64,00A64,Mathematics and literature
Mathematics and music,Mathematics and music General and miscellaneous specific topics General and overarching topics; collections 00A65 MSC2020,https://scholar.google.com/scholar?q=Mathematics%20and%20music%20General%20and%20miscellaneous%20specific%20topics%20General%20and%20overarching%20topics%3B%20collections%2000A65%20MSC2020,Foundations and methodology,adjacent,General and overarching topics; collections,General and miscellaneous specific topics,Mathematics and music,sub_subfield,MSC2020:00A65,00A65,Mathematics and music
Mathematics and visual arts,Mathematics and visual arts General and miscellaneous specific topics General and overarching topics; collections 00A66 MSC2020,https://scholar.google.com/scholar?q=Mathematics%20and%20visual%20arts%20General%20and%20miscellaneous%20specific%20topics%20General%20and%20overarching%20topics%3B%20collections%2000A66%20MSC2020,Foundations and methodology,adjacent,General and overarching topics; collections,General and miscellaneous specific topics,Mathematics and visual arts,sub_subfield,MSC2020:00A66,00A66,Mathematics and visual arts
Mathematics and architecture,Mathematics and architecture General and miscellaneous specific topics General and overarching topics; collections 00A67 MSC2020,https://scholar.google.com/scholar?q=Mathematics%20and%20architecture%20General%20and%20miscellaneous%20specific%20topics%20General%20and%20overarching%20topics%3B%20collections%2000A67%20MSC2020,Foundations and methodology,adjacent,General and overarching topics; collections,General and miscellaneous specific topics,Mathematics and architecture,sub_subfield,MSC2020:00A67,00A67,Mathematics and architecture
General applied mathematics,General applied mathematics General and miscellaneous specific topics General and overarching topics; collections 00A69 MSC2020,https://scholar.google.com/scholar?q=General%20applied%20mathematics%20General%20and%20miscellaneous%20specific%20topics%20General%20and%20overarching%20topics%3B%20collections%2000A69%20MSC2020,Foundations and methodology,adjacent,General and overarching topics; collections,General and miscellaneous specific topics,"General applied mathematics {For physics, see 00A79 and Sections 70 through 86}",sub_subfield,MSC2020:00A69,00A69,"General applied mathematics {For physics, see 00A79 and Sections 70 through 86}"
General theory of mathematical modeling,General theory of mathematical modeling General and miscellaneous specific topics General and overarching topics; collections 00A71 MSC2020,https://scholar.google.com/scholar?q=General%20theory%20of%20mathematical%20modeling%20General%20and%20miscellaneous%20specific%20topics%20General%20and%20overarching%20topics%3B%20collections%2000A71%20MSC2020,Foundations and methodology,adjacent,General and overarching topics; collections,General and miscellaneous specific topics,General theory of mathematical modeling,sub_subfield,MSC2020:00A71,00A71,General theory of mathematical modeling
General theory of simulation,General theory of simulation General and miscellaneous specific topics General and overarching topics; collections 00A72 MSC2020,https://scholar.google.com/scholar?q=General%20theory%20of%20simulation%20General%20and%20miscellaneous%20specific%20topics%20General%20and%20overarching%20topics%3B%20collections%2000A72%20MSC2020,Foundations and methodology,adjacent,General and overarching topics; collections,General and miscellaneous specific topics,General theory of simulation,sub_subfield,MSC2020:00A72,00A72,General theory of simulation
Physics,Physics General and miscellaneous specific topics General and overarching topics; collections 00A79 MSC2020,https://scholar.google.com/scholar?q=Physics%20General%20and%20miscellaneous%20specific%20topics%20General%20and%20overarching%20topics%3B%20collections%2000A79%20MSC2020,Foundations and methodology,adjacent,General and overarching topics; collections,General and miscellaneous specific topics,Physics [Use more specific entries from Sections 70 through 86 when possible],sub_subfield,MSC2020:00A79,00A79,Physics [Use more specific entries from Sections 70 through 86 when possible]
"None of the above, but in this section","None of the above, but in this section General and miscellaneous specific topics General and overarching topics; collections 00A99 MSC2020",https://scholar.google.com/scholar?q=None%20of%20the%20above%2C%20but%20in%20this%20section%20General%20and%20miscellaneous%20specific%20topics%20General%20and%20overarching%20topics%3B%20collections%2000A99%20MSC2020,Foundations and methodology,adjacent,General and overarching topics; collections,General and miscellaneous specific topics,"None of the above, but in this section",sub_subfield,MSC2020:00A99,00A99,"None of the above, but in this section"
Conference proceedings and collections of articles,Conference proceedings and collections of articles General and overarching topics; collections 00Bxx MSC2020,https://scholar.google.com/scholar?q=Conference%20proceedings%20and%20collections%20of%20articles%20General%20and%20overarching%20topics%3B%20collections%2000Bxx%20MSC2020,Foundations and methodology,adjacent,General and overarching topics; collections,Conference proceedings and collections of articles,,subfield,MSC2020:00Bxx,00Bxx,Conference proceedings and collections of articles
Collections of abstracts of lectures,Collections of abstracts of lectures Conference proceedings and collections of articles General and overarching topics; collections 00B05 MSC2020,https://scholar.google.com/scholar?q=Collections%20of%20abstracts%20of%20lectures%20Conference%20proceedings%20and%20collections%20of%20articles%20General%20and%20overarching%20topics%3B%20collections%2000B05%20MSC2020,Foundations and methodology,adjacent,General and overarching topics; collections,Conference proceedings and collections of articles,Collections of abstracts of lectures,sub_subfield,MSC2020:00B05,00B05,Collections of abstracts of lectures
Collections of articles of general interest,Collections of articles of general interest Conference proceedings and collections of articles General and overarching topics; collections 00B10 MSC2020,https://scholar.google.com/scholar?q=Collections%20of%20articles%20of%20general%20interest%20Conference%20proceedings%20and%20collections%20of%20articles%20General%20and%20overarching%20topics%3B%20collections%2000B10%20MSC2020,Foundations and methodology,adjacent,General and overarching topics; collections,Conference proceedings and collections of articles,Collections of articles of general interest,sub_subfield,MSC2020:00B10,00B10,Collections of articles of general interest
Collections of articles of miscellaneous specific interest,Collections of articles of miscellaneous specific interest Conference proceedings and collections of articles General and overarching topics; collections 00B15 MSC2020,https://scholar.google.com/scholar?q=Collections%20of%20articles%20of%20miscellaneous%20specific%20interest%20Conference%20proceedings%20and%20collections%20of%20articles%20General%20and%20overarching%20topics%3B%20collections%2000B15%20MSC2020,Foundations and methodology,adjacent,General and overarching topics; collections,Conference proceedings and collections of articles,Collections of articles of miscellaneous specific interest,sub_subfield,MSC2020:00B15,00B15,Collections of articles of miscellaneous specific interest
Proceedings of conferences of general interest,Proceedings of conferences of general interest Conference proceedings and collections of articles General and overarching topics; collections 00B20 MSC2020,https://scholar.google.com/scholar?q=Proceedings%20of%20conferences%20of%20general%20interest%20Conference%20proceedings%20and%20collections%20of%20articles%20General%20and%20overarching%20topics%3B%20collections%2000B20%20MSC2020,Foundations and methodology,adjacent,General and overarching topics; collections,Conference proceedings and collections of articles,Proceedings of conferences of general interest,sub_subfield,MSC2020:00B20,00B20,Proceedings of conferences of general interest
Proceedings of conferences of miscellaneous specific interest,Proceedings of conferences of miscellaneous specific interest Conference proceedings and collections of articles General and overarching topics; collections 00B25 MSC2020,https://scholar.google.com/scholar?q=Proceedings%20of%20conferences%20of%20miscellaneous%20specific%20interest%20Conference%20proceedings%20and%20collections%20of%20articles%20General%20and%20overarching%20topics%3B%20collections%2000B25%20MSC2020,Foundations and methodology,adjacent,General and overarching topics; collections,Conference proceedings and collections of articles,Proceedings of conferences of miscellaneous specific interest,sub_subfield,MSC2020:00B25,00B25,Proceedings of conferences of miscellaneous specific interest
Festschriften,Festschriften Conference proceedings and collections of articles General and overarching topics; collections 00B30 MSC2020,https://scholar.google.com/scholar?q=Festschriften%20Conference%20proceedings%20and%20collections%20of%20articles%20General%20and%20overarching%20topics%3B%20collections%2000B30%20MSC2020,Foundations and methodology,adjacent,General and overarching topics; collections,Conference proceedings and collections of articles,Festschriften,sub_subfield,MSC2020:00B30,00B30,Festschriften
Collections of translated articles of general interest,Collections of translated articles of general interest Conference proceedings and collections of articles General and overarching topics; collections 00B50 MSC2020,https://scholar.google.com/scholar?q=Collections%20of%20translated%20articles%20of%20general%20interest%20Conference%20proceedings%20and%20collections%20of%20articles%20General%20and%20overarching%20topics%3B%20collections%2000B50%20MSC2020,Foundations and methodology,adjacent,General and overarching topics; collections,Conference proceedings and collections of articles,Collections of translated articles of general interest,sub_subfield,MSC2020:00B50,00B50,Collections of translated articles of general interest
Collections of translated articles of miscellaneous specific interest,Collections of translated articles of miscellaneous specific interest Conference proceedings and collections of articles General and overarching topics; collections 00B55 MSC2020,https://scholar.google.com/scholar?q=Collections%20of%20translated%20articles%20of%20miscellaneous%20specific%20interest%20Conference%20proceedings%20and%20collections%20of%20articles%20General%20and%20overarching%20topics%3B%20collections%2000B55%20MSC2020,Foundations and methodology,adjacent,General and overarching topics; collections,Conference proceedings and collections of articles,Collections of translated articles of miscellaneous specific interest,sub_subfield,MSC2020:00B55,00B55,Collections of translated articles of miscellaneous specific interest
Collections of reprinted articles,Collections of reprinted articles Conference proceedings and collections of articles General and overarching topics; collections 00B60 MSC2020,https://scholar.google.com/scholar?q=Collections%20of%20reprinted%20articles%20Conference%20proceedings%20and%20collections%20of%20articles%20General%20and%20overarching%20topics%3B%20collections%2000B60%20MSC2020,Foundations and methodology,adjacent,General and overarching topics; collections,Conference proceedings and collections of articles,Collections of reprinted articles [See also 01A75],sub_subfield,MSC2020:00B60,00B60,Collections of reprinted articles [See also 01A75]
"None of the above, but in this section","None of the above, but in this section Conference proceedings and collections of articles General and overarching topics; collections 00B99 MSC2020",https://scholar.google.com/scholar?q=None%20of%20the%20above%2C%20but%20in%20this%20section%20Conference%20proceedings%20and%20collections%20of%20articles%20General%20and%20overarching%20topics%3B%20collections%2000B99%20MSC2020,Foundations and methodology,adjacent,General and overarching topics; collections,Conference proceedings and collections of articles,"None of the above, but in this section",sub_subfield,MSC2020:00B99,00B99,"None of the above, but in this section"
Mathematical logic and foundations,Mathematical logic and foundations 03-XX MSC2020,https://scholar.google.com/scholar?q=Mathematical%20logic%20and%20foundations%2003-XX%20MSC2020,Logic and foundations,core,Mathematical logic and foundations,,,field,MSC2020:03-XX,03-XX,Mathematical logic and foundations
"General reference works (handbooks, dictionaries, bibliographies, etc.) pertaining to mathematical logic and foundations","General reference works (handbooks, dictionaries, bibliographies, etc.) pertaining to mathematical logic and foundations Mathematical logic and foundations 03-00 MSC2020",https://scholar.google.com/scholar?q=General%20reference%20works%20(handbooks%2C%20dictionaries%2C%20bibliographies%2C%20etc.)%20pertaining%20to%20mathematical%20logic%20and%20foundations%20Mathematical%20logic%20and%20foundations%2003-00%20MSC2020,Logic and foundations,core,Mathematical logic and foundations,"General reference works (handbooks, dictionaries, bibliographies, etc.) pertaining to mathematical logic and foundations",,subfield,MSC2020:03-00,03-00,"General reference works (handbooks, dictionaries, bibliographies, etc.) pertaining to mathematical logic and foundations"
"Introductory exposition (textbooks, tutorial papers, etc.) pertaining to mathematical logic and foundations","Introductory exposition (textbooks, tutorial papers, etc.) pertaining to mathematical logic and foundations Mathematical logic and foundations 03-01 MSC2020",https://scholar.google.com/scholar?q=Introductory%20exposition%20(textbooks%2C%20tutorial%20papers%2C%20etc.)%20pertaining%20to%20mathematical%20logic%20and%20foundations%20Mathematical%20logic%20and%20foundations%2003-01%20MSC2020,Logic and foundations,core,Mathematical logic and foundations,"Introductory exposition (textbooks, tutorial papers, etc.) pertaining to mathematical logic and foundations",,subfield,MSC2020:03-01,03-01,"Introductory exposition (textbooks, tutorial papers, etc.) pertaining to mathematical logic and foundations"
"Research exposition (monographs, survey articles) pertaining to mathematical logic and foundations","Research exposition (monographs, survey articles) pertaining to mathematical logic and foundations Mathematical logic and foundations 03-02 MSC2020",https://scholar.google.com/scholar?q=Research%20exposition%20(monographs%2C%20survey%20articles)%20pertaining%20to%20mathematical%20logic%20and%20foundations%20Mathematical%20logic%20and%20foundations%2003-02%20MSC2020,Logic and foundations,core,Mathematical logic and foundations,"Research exposition (monographs, survey articles) pertaining to mathematical logic and foundations",,subfield,MSC2020:03-02,03-02,"Research exposition (monographs, survey articles) pertaining to mathematical logic and foundations"
History of mathematical logic and foundations,History of mathematical logic and foundations Mathematical logic and foundations 03-03 MSC2020,https://scholar.google.com/scholar?q=History%20of%20mathematical%20logic%20and%20foundations%20Mathematical%20logic%20and%20foundations%2003-03%20MSC2020,Logic and foundations,core,Mathematical logic and foundations,History of mathematical logic and foundations [Consider also classification numbers from Section 01],,subfield,MSC2020:03-03,03-03,History of mathematical logic and foundations [Consider also classification numbers from Section 01]
"Software, source code, etc. for problems pertaining to mathematical logic and foundations","Software, source code, etc. for problems pertaining to mathematical logic and foundations Mathematical logic and foundations 03-04 MSC2020",https://scholar.google.com/scholar?q=Software%2C%20source%20code%2C%20etc.%20for%20problems%20pertaining%20to%20mathematical%20logic%20and%20foundations%20Mathematical%20logic%20and%20foundations%2003-04%20MSC2020,Logic and foundations,core,Mathematical logic and foundations,"Software, source code, etc. for problems pertaining to mathematical logic and foundations",,subfield,MSC2020:03-04,03-04,"Software, source code, etc. for problems pertaining to mathematical logic and foundations"
"Proceedings, conferences, collections, etc. pertaining to mathematical logic and foundations","Proceedings, conferences, collections, etc. pertaining to mathematical logic and foundations Mathematical logic and foundations 03-06 MSC2020",https://scholar.google.com/scholar?q=Proceedings%2C%20conferences%2C%20collections%2C%20etc.%20pertaining%20to%20mathematical%20logic%20and%20foundations%20Mathematical%20logic%20and%20foundations%2003-06%20MSC2020,Logic and foundations,core,Mathematical logic and foundations,"Proceedings, conferences, collections, etc. pertaining to mathematical logic and foundations",,subfield,MSC2020:03-06,03-06,"Proceedings, conferences, collections, etc. pertaining to mathematical logic and foundations"
Computational methods for problems pertaining to mathematical logic and foundations,Computational methods for problems pertaining to mathematical logic and foundations Mathematical logic and foundations 03-08 MSC2020,https://scholar.google.com/scholar?q=Computational%20methods%20for%20problems%20pertaining%20to%20mathematical%20logic%20and%20foundations%20Mathematical%20logic%20and%20foundations%2003-08%20MSC2020,Logic and foundations,core,Mathematical logic and foundations,Computational methods for problems pertaining to mathematical logic and foundations,,subfield,MSC2020:03-08,03-08,Computational methods for problems pertaining to mathematical logic and foundations
Research data for problems pertaining to mathematical logic and foundations,Research data for problems pertaining to mathematical logic and foundations Mathematical logic and foundations 03-11 MSC2020,https://scholar.google.com/scholar?q=Research%20data%20for%20problems%20pertaining%20to%20mathematical%20logic%20and%20foundations%20Mathematical%20logic%20and%20foundations%2003-11%20MSC2020,Logic and foundations,core,Mathematical logic and foundations,Research data for problems pertaining to mathematical logic and foundations,,subfield,MSC2020:03-11,03-11,Research data for problems pertaining to mathematical logic and foundations
Philosophical aspects of logic and foundations,Philosophical aspects of logic and foundations Mathematical logic and foundations 03Axx MSC2020,https://scholar.google.com/scholar?q=Philosophical%20aspects%20of%20logic%20and%20foundations%20Mathematical%20logic%20and%20foundations%2003Axx%20MSC2020,Logic and foundations,core,Mathematical logic and foundations,Philosophical aspects of logic and foundations,,subfield,MSC2020:03Axx,03Axx,Philosophical aspects of logic and foundations
Philosophical and critical aspects of logic and foundations,Philosophical and critical aspects of logic and foundations Philosophical aspects of logic and foundations Mathematical logic and foundations 03A05 MSC2020,https://scholar.google.com/scholar?q=Philosophical%20and%20critical%20aspects%20of%20logic%20and%20foundations%20Philosophical%20aspects%20of%20logic%20and%20foundations%20Mathematical%20logic%20and%20foundations%2003A05%20MSC2020,Logic and foundations,core,Mathematical logic and foundations,Philosophical aspects of logic and foundations,"Philosophical and critical aspects of logic and foundations {For philosophy of mathematics, see also 00A30}",sub_subfield,MSC2020:03A05,03A05,"Philosophical and critical aspects of logic and foundations {For philosophy of mathematics, see also 00A30}"
Logic in the philosophy of science,Logic in the philosophy of science Philosophical aspects of logic and foundations Mathematical logic and foundations 03A10 MSC2020,https://scholar.google.com/scholar?q=Logic%20in%20the%20philosophy%20of%20science%20Philosophical%20aspects%20of%20logic%20and%20foundations%20Mathematical%20logic%20and%20foundations%2003A10%20MSC2020,Logic and foundations,core,Mathematical logic and foundations,Philosophical aspects of logic and foundations,Logic in the philosophy of science,sub_subfield,MSC2020:03A10,03A10,Logic in the philosophy of science
"None of the above, but in this section","None of the above, but in this section Philosophical aspects of logic and foundations Mathematical logic and foundations 03A99 MSC2020",https://scholar.google.com/scholar?q=None%20of%20the%20above%2C%20but%20in%20this%20section%20Philosophical%20aspects%20of%20logic%20and%20foundations%20Mathematical%20logic%20and%20foundations%2003A99%20MSC2020,Logic and foundations,core,Mathematical logic and foundations,Philosophical aspects of logic and foundations,"None of the above, but in this section",sub_subfield,MSC2020:03A99,03A99,"None of the above, but in this section"
General logic,General logic Mathematical logic and foundations 03Bxx MSC2020,https://scholar.google.com/scholar?q=General%20logic%20Mathematical%20logic%20and%20foundations%2003Bxx%20MSC2020,Logic and foundations,core,Mathematical logic and foundations,General logic,,subfield,MSC2020:03Bxx,03Bxx,General logic
Classical propositional logic,Classical propositional logic General logic Mathematical logic and foundations 03B05 MSC2020,https://scholar.google.com/scholar?q=Classical%20propositional%20logic%20General%20logic%20Mathematical%20logic%20and%20foundations%2003B05%20MSC2020,Logic and foundations,core,Mathematical logic and foundations,General logic,Classical propositional logic,sub_subfield,MSC2020:03B05,03B05,Classical propositional logic
Classical first-order logic,Classical first-order logic General logic Mathematical logic and foundations 03B10 MSC2020,https://scholar.google.com/scholar?q=Classical%20first-order%20logic%20General%20logic%20Mathematical%20logic%20and%20foundations%2003B10%20MSC2020,Logic and foundations,core,Mathematical logic and foundations,General logic,Classical first-order logic,sub_subfield,MSC2020:03B10,03B10,Classical first-order logic
Higher-order logic,Higher-order logic General logic Mathematical logic and foundations 03B16 MSC2020,https://scholar.google.com/scholar?q=Higher-order%20logic%20General%20logic%20Mathematical%20logic%20and%20foundations%2003B16%20MSC2020,Logic and foundations,core,Mathematical logic and foundations,General logic,Higher-order logic,sub_subfield,MSC2020:03B16,03B16,Higher-order logic
Subsystems of classical logic (including intuitionistic logic),Subsystems of classical logic (including intuitionistic logic) General logic Mathematical logic and foundations 03B20 MSC2020,https://scholar.google.com/scholar?q=Subsystems%20of%20classical%20logic%20(including%20intuitionistic%20logic)%20General%20logic%20Mathematical%20logic%20and%20foundations%2003B20%20MSC2020,Logic and foundations,core,Mathematical logic and foundations,General logic,Subsystems of classical logic (including intuitionistic logic),sub_subfield,MSC2020:03B20,03B20,Subsystems of classical logic (including intuitionistic logic)
Abstract deductive systems,Abstract deductive systems General logic Mathematical logic and foundations 03B22 MSC2020,https://scholar.google.com/scholar?q=Abstract%20deductive%20systems%20General%20logic%20Mathematical%20logic%20and%20foundations%2003B22%20MSC2020,Logic and foundations,core,Mathematical logic and foundations,General logic,Abstract deductive systems,sub_subfield,MSC2020:03B22,03B22,Abstract deductive systems
Decidability of theories and sets of sentences,Decidability of theories and sets of sentences General logic Mathematical logic and foundations 03B25 MSC2020,https://scholar.google.com/scholar?q=Decidability%20of%20theories%20and%20sets%20of%20sentences%20General%20logic%20Mathematical%20logic%20and%20foundations%2003B25%20MSC2020,Logic and foundations,core,Mathematical logic and foundations,General logic,"Decidability of theories and sets of sentences [See also 11U05, 12L05, 20F10]",sub_subfield,MSC2020:03B25,03B25,"Decidability of theories and sets of sentences [See also 11U05, 12L05, 20F10]"
Foundations of classical theories (including reverse mathematics),Foundations of classical theories (including reverse mathematics) General logic Mathematical logic and foundations 03B30 MSC2020,https://scholar.google.com/scholar?q=Foundations%20of%20classical%20theories%20(including%20reverse%20mathematics)%20General%20logic%20Mathematical%20logic%20and%20foundations%2003B30%20MSC2020,Logic and foundations,core,Mathematical logic and foundations,General logic,Foundations of classical theories (including reverse mathematics) [See also 03F35],sub_subfield,MSC2020:03B30,03B30,Foundations of classical theories (including reverse mathematics) [See also 03F35]
Mechanization of proofs and logical operations,Mechanization of proofs and logical operations General logic Mathematical logic and foundations 03B35 MSC2020,https://scholar.google.com/scholar?q=Mechanization%20of%20proofs%20and%20logical%20operations%20General%20logic%20Mathematical%20logic%20and%20foundations%2003B35%20MSC2020,Logic and foundations,core,Mathematical logic and foundations,General logic,Mechanization of proofs and logical operations [See also 68V15],sub_subfield,MSC2020:03B35,03B35,Mechanization of proofs and logical operations [See also 68V15]
Type theory,Type theory General logic Mathematical logic and foundations 03B38 MSC2020,https://scholar.google.com/scholar?q=Type%20theory%20General%20logic%20Mathematical%20logic%20and%20foundations%2003B38%20MSC2020,Logic and foundations,core,Mathematical logic and foundations,General logic,Type theory,sub_subfield,MSC2020:03B38,03B38,Type theory
